_key,id,price,bedrooms,bathrooms,area/m2,area/sq_ft,predictions/human/0,predictions/human/1,predictions/ai/0,predictions/ai/1,rationales/human/0,rationales/ai/0,rationales/human_rationale,rationales/ai_rationale,quality_ai,responses/ai/0,responses/human/0,responses/verdict
26_1,26,1290000,4,4.0,460,4954,700000,800000,500000,600000,False,False,,,0,4,3,2
26_7,26,1290000,4,4.0,460,4954,700000,800000,500000,600000,False,False,,,0,1,1,2
26_11,26,1290000,4,4.0,460,4954,700000,800000,500000,600000,False,False,,,0,3,4,1
26_15,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,False,False,,,0,1,4,1
26_16,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,False,False,,,0,3,3,0
26_17,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,False,False,,,0,4,3,0
26_18,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,False,False,,,0,2,4,1
26_29,26,1290000,4,4.0,460,4954,700000,800000,500000,600000,False,False,,,0,1,1,2
27_2,27,962500,4,4.5,330,3550,900000,1000000,700000,800000,False,False,,,1,4,5,1
27_4,27,962500,4,4.5,330,3550,900000,1000000,700000,800000,False,False,,,1,1,1,2
27_6,27,962500,4,4.5,330,3550,900000,1000000,700000,800000,False,False,,,1,3,2,0
27_8,27,962500,4,4.5,330,3550,900000,1000000,700000,800000,False,False,,,1,1,1,2
27_9,27,962500,4,4.5,330,3550,900000,1000000,700000,800000,False,False,,,1,2,4,1
27_11,27,962500,4,4.5,330,3550,700000,800000,700000,800000,False,False,,,1,3,3,2
27_12,27,962500,4,4.5,330,3550,700000,800000,700000,800000,False,False,,,1,1,1,2
27_15,27,962500,4,4.5,330,3550,700000,800000,700000,800000,False,False,,,1,1,1,2
27_23,27,962500,4,4.5,330,3550,800000,900000,700000,800000,False,False,,,1,5,5,1
27_27,27,962500,4,4.5,330,3550,800000,900000,700000,800000,False,False,,,1,4,3,0
27_30,27,962500,4,4.5,330,3550,800000,900000,700000,800000,False,False,,,1,4,3,0
28_2,28,875000,5,4.5,388,4180,1250000,1500000,700000,800000,False,False,,,1,2,4,1
28_4,28,875000,5,4.5,388,4180,1250000,1500000,700000,800000,False,False,,,1,4,4,2
28_6,28,875000,5,4.5,388,4180,1250000,1500000,700000,800000,False,False,,,1,2,2,2
28_7,28,875000,5,4.5,388,4180,1250000,1500000,700000,800000,False,False,,,1,2,3,1
28_24,28,875000,5,4.5,388,4180,600000,700000,700000,800000,False,False,,,1,4,3,2
28_25,28,875000,5,4.5,388,4180,600000,700000,700000,800000,False,False,,,1,3,3,2
29_1,29,1650000,4,4.0,415,4464,1000000,1250000,1000000,1500000,False,False,,,1,2,2,2
29_3,29,1650000,4,4.0,415,4464,700000,800000,1000000,1500000,False,False,,,1,1,1,2
29_16,29,1650000,4,4.0,415,4464,700000,800000,1000000,1500000,False,False,,,1,3,5,1
29_26,29,1650000,4,4.0,415,4464,700000,800000,1000000,1500000,False,False,,,1,1,1,2
30_1,30,1199000,5,4.5,449,4829,600000,700000,700000,800000,False,False,,,1,1,1,2
30_7,30,1199000,5,4.5,449,4829,600000,700000,700000,800000,False,False,,,1,3,3,2
30_11,30,1199000,5,4.5,449,4829,600000,700000,700000,800000,False,False,,,1,2,3,1
30_17,30,1199000,5,4.5,449,4829,600000,700000,700000,800000,False,False,,,1,5,4,0
30_18,30,1199000,5,4.5,449,4829,600000,700000,700000,800000,False,False,,,1,3,3,2
30_25,30,1199000,5,4.5,449,4829,1250000,1500000,700000,800000,False,False,,,1,5,1,0
30_27,30,1199000,5,4.5,449,4829,1250000,1500000,700000,800000,False,False,,,1,1,1,2
30_28,30,1199000,5,4.5,449,4829,1250000,1500000,700000,800000,False,False,,,1,4,3,2
31_11,31,789000,5,3.0,234,2520,900000,1000000,700000,800000,False,False,,,1,1,1,2
31_18,31,789000,5,3.0,234,2520,900000,1000000,700000,800000,False,False,,,1,3,2,0
31_19,31,789000,5,3.0,234,2520,900000,1000000,700000,800000,False,False,,,1,2,4,1
31_21,31,789000,5,3.0,234,2520,900000,1000000,700000,800000,False,False,,,1,4,5,1
31_27,31,789000,5,3.0,234,2520,900000,1000000,700000,800000,False,False,,,1,4,2,0
32_1,32,1039000,4,3.5,318,3428,1000000,1250000,500000,600000,False,False,,,0,4,2,0
32_2,32,1039000,4,3.5,318,3428,1000000,1250000,500000,600000,False,False,,,0,4,4,2
32_4,32,1039000,4,3.5,318,3428,1000000,1250000,500000,600000,False,False,,,0,3,2,0
32_7,32,1039000,4,3.5,318,3428,800000,900000,500000,600000,False,False,,,0,2,4,1
32_8,32,1039000,4,3.5,318,3428,1000000,1250000,500000,600000,False,False,,,0,4,2,0
32_10,32,1039000,4,3.5,318,3428,1000000,1250000,500000,600000,False,False,,,0,1,1,2
32_17,32,1039000,4,3.5,318,3428,1000000,1250000,500000,600000,False,False,,,0,3,2,0
32_18,32,1039000,4,3.5,318,3428,1000000,1250000,500000,600000,False,False,,,0,1,1,2
32_28,32,1039000,4,3.5,318,3428,1000000,1250000,500000,600000,False,False,,,0,5,2,0
32_36,32,1039000,4,3.5,318,3428,800000,900000,500000,600000,False,False,,,0,1,1,2
33_4,33,365000,3,2.0,167,1802,300000,400000,400000,500000,False,False,,,0,1,1,2
33_5,33,365000,3,2.0,167,1802,300000,400000,400000,500000,False,False,,,0,3,3,2
33_14,33,365000,3,2.0,167,1802,300000,400000,400000,500000,False,False,,,0,2,2,1
