_key,id,price,bedrooms,bathrooms,area/m2,area/sq_ft,predictions/human/0,predictions/human/1,predictions/ai/0,predictions/ai/1,rationales/human/0,rationales/ai/0,rationales/human_rationale,rationales/ai_rationale,quality_ai,responses/ai/0,responses/human/0,responses/verdict
26_1,26,1290000,4,4.0,460,4954,700000,800000,500000,600000,False,False,,,0,4,3,2
26_2,26,1290000,4,4.0,460,4954,700000,800000,500000,600000,True,True,"Beautiful furniture, cozy atmosphere. But overall external design leaves much to be desired. ","The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,4,4,2
26_3,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,False,True,,"The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,4,4,2
26_4,26,1290000,4,4.0,460,4954,700000,800000,500000,600000,True,True,"Beautiful furniture, cozy atmosphere. But overall external design leaves much to be desired. ","The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,4,3,0
26_5,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,False,True,,"The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,4,2,0
26_6,26,1290000,4,4.0,460,4954,700000,800000,500000,600000,False,True,,"The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,5,1,0
26_7,26,1290000,4,4.0,460,4954,700000,800000,500000,600000,False,False,,,0,1,1,2
26_8,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,False,True,,"The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,4,2,0
26_9,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,False,True,,"The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,4,3,0
26_10,26,1290000,4,4.0,460,4954,700000,800000,500000,600000,True,True,"Beautiful furniture, cozy atmosphere. But overall external design leaves much to be desired. ","The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,2,1,0
26_11,26,1290000,4,4.0,460,4954,700000,800000,500000,600000,False,False,,,0,3,4,1
26_12,26,1290000,4,4.0,460,4954,700000,800000,500000,600000,False,True,,"The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,4,2,0
26_13,26,1290000,4,4.0,460,4954,700000,800000,500000,600000,False,True,,"The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,4,1,0
26_14,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,True,False,"Nice area, lots of free Parking space for cars. The exterior is very unusual architecture, but inside it is cute and free.",,0,1,4,1
26_15,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,False,False,,,0,1,4,1
26_16,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,False,False,,,0,3,3,0
26_17,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,False,False,,,0,4,3,0
