_key,id,price,bedrooms,bathrooms,area/m2,area/sq_ft,predictions/human/0,predictions/human/1,predictions/ai/0,predictions/ai/1,rationales/human/0,rationales/ai/0,rationales/human_rationale,rationales/ai_rationale,quality_ai,responses/ai/0,responses/human/0,responses/verdict
26_3,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,False,True,,"The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,4,4,2
26_5,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,False,True,,"The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,4,2,0
26_6,26,1290000,4,4.0,460,4954,700000,800000,500000,600000,False,True,,"The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,5,1,0
26_8,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,False,True,,"The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,4,2,0
26_9,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,False,True,,"The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,4,3,0
26_12,26,1290000,4,4.0,460,4954,700000,800000,500000,600000,False,True,,"The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,4,2,0
26_13,26,1290000,4,4.0,460,4954,700000,800000,500000,600000,False,True,,"The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,4,1,0
26_30,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,False,True,,"The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,1,3,2
27_19,27,962500,4,4.5,330,3550,900000,1000000,700000,800000,False,True,,"The property has four bedrooms and four and a half bathrooms, which is a good size for a family. The area of 3550 square feet is also reasonable for the price range of $700,000 to $800,000. The property has a modern build quality and a large garage, which is a desirable feature. The location in zipcode 85262 is also a desirable area. All of these factors contribute to the price range of $700,000 to $800,000.",1,4,1,0
27_20,27,962500,4,4.5,330,3550,900000,1000000,700000,800000,False,True,,"The property has four bedrooms and four and a half bathrooms, which is a good size for a family. The area of 3550 square feet is also reasonable for the price range of $700,000 to $800,000. The property has a modern build quality and a large garage, which is a desirable feature. The location in zipcode 85262 is also a desirable area. All of these factors contribute to the price range of $700,000 to $800,000.",1,4,3,0
