_key,id,price,bedrooms,bathrooms,area/m2,area/sq_ft,predictions/human/0,predictions/human/1,predictions/ai/0,predictions/ai/1,rationales/human/0,rationales/ai/0,rationales/human_rationale,rationales/ai_rationale,quality_ai,responses/ai/0,responses/human/0,responses/verdict
26_14,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,True,False,"Nice area, lots of free Parking space for cars. The exterior is very unusual architecture, but inside it is cute and free.",,0,1,4,1
26_19,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,True,False,"Nice area, lots of free Parking space for cars. The exterior is very unusual architecture, but inside it is cute and free.",,0,2,4,1
26_20,26,1290000,4,4.0,460,4954,700000,800000,500000,600000,True,False,"Beautiful furniture, cozy atmosphere. But overall external design leaves much to be desired. ",,0,2,2,0
26_21,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,True,False,"Nice area, lots of free Parking space for cars. The exterior is very unusual architecture, but inside it is cute and free.",,0,3,3,0
26_22,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,True,False,"Nice area, lots of free Parking space for cars. The exterior is very unusual architecture, but inside it is cute and free.",,0,4,3,0
26_28,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,True,False,"Nice area, lots of free Parking space for cars. The exterior is very unusual architecture, but inside it is cute and free.",,0,2,4,1
27_1,27,962500,4,4.5,330,3550,800000,900000,700000,800000,True,False,looks like very good and have 4 bed i think this price gonna be good,,1,3,3,2
27_3,27,962500,4,4.5,330,3550,800000,900000,700000,800000,True,False,looks like very good and have 4 bed i think this price gonna be good,,1,1,3,1
27_5,27,962500,4,4.5,330,3550,700000,800000,700000,800000,True,False,"Nice house , in a nice neighborhood , quite cozy , though not very big",,1,2,4,1
27_13,27,962500,4,4.5,330,3550,700000,800000,700000,800000,True,False,"Nice house , in a nice neighborhood , quite cozy , though not very big",,1,1,2,1
27_14,27,962500,4,4.5,330,3550,700000,800000,700000,800000,True,False,"Nice house , in a nice neighborhood , quite cozy , though not very big",,1,1,3,1
27_16,27,962500,4,4.5,330,3550,700000,800000,700000,800000,True,False,"Nice house , in a nice neighborhood , quite cozy , though not very big",,1,1,3,1
27_24,27,962500,4,4.5,330,3550,800000,900000,700000,800000,True,False,looks like very good and have 4 bed i think this price gonna be good,,1,5,5,0
27_26,27,962500,4,4.5,330,3550,900000,1000000,700000,800000,True,False,A very large house. Repair is awesome. Everything is tastefully done. There are all conditions for a comfortable stay.,,1,3,5,1
27_29,27,962500,4,4.5,330,3550,900000,1000000,700000,800000,True,False,A very large house. Repair is awesome. Everything is tastefully done. There are all conditions for a comfortable stay.,,1,1,4,1
27_33,27,962500,4,4.5,330,3550,700000,800000,700000,800000,True,False,"Nice house , in a nice neighborhood , quite cozy , though not very big",,1,1,3,1
28_3,28,875000,5,4.5,388,4180,1250000,1500000,700000,800000,True,False,"The house has a large surface area and from the images we can see that the property also includes a large fancy kitchen and bathrooms.
The zip code is located in a big city and near the hills.",,1,1,5,1
28_9,28,875000,5,4.5,388,4180,1250000,1500000,700000,800000,True,False,"The house has a large surface area and from the images we can see that the property also includes a large fancy kitchen and bathrooms.
The zip code is located in a big city and near the hills.",,1,1,4,1
28_12,28,875000,5,4.5,388,4180,600000,700000,700000,800000,True,False,Total are total five bedrooms of the house and open space in front,,1,1,4,1
28_14,28,875000,5,4.5,388,4180,600000,700000,700000,800000,True,False,Total are total five bedrooms of the house and open space in front,,1,1,1,2
28_16,28,875000,5,4.5,388,4180,1250000,1500000,700000,800000,True,False,"The house has a large surface area and from the images we can see that the property also includes a large fancy kitchen and bathrooms.
The zip code is located in a big city and near the hills.",,1,2,4,1
28_17,28,875000,5,4.5,388,4180,1250000,1500000,700000,800000,True,False,"The house has a large surface area and from the images we can see that the property also includes a large fancy kitchen and bathrooms.
The zip code is located in a big city and near the hills.",,1,3,4,1
28_18,28,875000,5,4.5,388,4180,600000,700000,700000,800000,True,False,Total are total five bedrooms of the house and open space in front,,1,1,2,1
28_21,28,875000,5,4.5,388,4180,600000,700000,700000,800000,True,False,Total are total five bedrooms of the house and open space in front,,1,4,4,0
