_key,id,price,bedrooms,bathrooms,area/m2,area/sq_ft,predictions/human/0,predictions/human/1,predictions/ai/0,predictions/ai/1,rationales/human/0,rationales/ai/0,rationales/human_rationale,rationales/ai_rationale,quality_ai,responses/ai/0,responses/human/0,responses/verdict
26_2,26,1290000,4,4.0,460,4954,700000,800000,500000,600000,True,True,"Beautiful furniture, cozy atmosphere. But overall external design leaves much to be desired. ","The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,4,4,2
26_4,26,1290000,4,4.0,460,4954,700000,800000,500000,600000,True,True,"Beautiful furniture, cozy atmosphere. But overall external design leaves much to be desired. ","The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,4,3,0
26_10,26,1290000,4,4.0,460,4954,700000,800000,500000,600000,True,True,"Beautiful furniture, cozy atmosphere. But overall external design leaves much to be desired. ","The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,2,1,0
26_23,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,True,True,"Nice area, lots of free Parking space for cars. The exterior is very unusual architecture, but inside it is cute and free.","The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,4,3,0
26_24,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,True,True,"Nice area, lots of free Parking space for cars. The exterior is very unusual architecture, but inside it is cute and free.","The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,5,4,0
26_25,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,True,True,"Nice area, lots of free Parking space for cars. The exterior is very unusual architecture, but inside it is cute and free.","The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,3,4,0
26_26,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,True,True,"Nice area, lots of free Parking space for cars. The exterior is very unusual architecture, but inside it is cute and free.","The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,4,2,0
26_27,26,1290000,4,4.0,460,4954,800000,900000,500000,600000,True,True,"Nice area, lots of free Parking space for cars. The exterior is very unusual architecture, but inside it is cute and free.","The property has four bedrooms and four bathrooms, with an area of 4954 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in the zipcode 85262 is a desirable area, and the property is likely to be in high demand. The price range of $500,000 to $600,000 is reasonable considering the size and quality of the property.",0,3,4,1
27_7,27,962500,4,4.5,330,3550,900000,1000000,700000,800000,True,True,A very large house. Repair is awesome. Everything is tastefully done. There are all conditions for a comfortable stay.,"The property has four bedrooms and four and a half bathrooms, which is a good size for a family. The area of 3550 square feet is also reasonable for the price range of $700,000 to $800,000. The property has a modern build quality and a large garage, which is a desirable feature. The location in zipcode 85262 is also a desirable area. All of these factors contribute to the price range of $700,000 to $800,000.",1,3,2,2
27_10,27,962500,4,4.5,330,3550,900000,1000000,700000,800000,True,True,A very large house. Repair is awesome. Everything is tastefully done. There are all conditions for a comfortable stay.,"The property has four bedrooms and four and a half bathrooms, which is a good size for a family. The area of 3550 square feet is also reasonable for the price range of $700,000 to $800,000. The property has a modern build quality and a large garage, which is a desirable feature. The location in zipcode 85262 is also a desirable area. All of these factors contribute to the price range of $700,000 to $800,000.",1,2,5,1
27_17,27,962500,4,4.5,330,3550,800000,900000,700000,800000,True,True,looks like very good and have 4 bed i think this price gonna be good,"The property has four bedrooms and four and a half bathrooms, which is a good size for a family. The area of 3550 square feet is also reasonable for the price range of $700,000 to $800,000. The property has a modern build quality and a large garage, which is a desirable feature. The location in zipcode 85262 is also a desirable area. All of these factors contribute to the price range of $700,000 to $800,000.",1,5,4,0
27_18,27,962500,4,4.5,330,3550,700000,800000,700000,800000,True,True,"Nice house , in a nice neighborhood , quite cozy , though not very big","The property has four bedrooms and four and a half bathrooms, which is a good size for a family. The area of 3550 square feet is also reasonable for the price range of $700,000 to $800,000. The property has a modern build quality and a large garage, which is a desirable feature. The location in zipcode 85262 is also a desirable area. All of these factors contribute to the price range of $700,000 to $800,000.",1,5,4,0
27_28,27,962500,4,4.5,330,3550,800000,900000,700000,800000,True,True,looks like very good and have 4 bed i think this price gonna be good,"The property has four bedrooms and four and a half bathrooms, which is a good size for a family. The area of 3550 square feet is also reasonable for the price range of $700,000 to $800,000. The property has a modern build quality and a large garage, which is a desirable feature. The location in zipcode 85262 is also a desirable area. All of these factors contribute to the price range of $700,000 to $800,000.",1,4,2,0
27_35,27,962500,4,4.5,330,3550,900000,1000000,700000,800000,True,True,A very large house. Repair is awesome. Everything is tastefully done. There are all conditions for a comfortable stay.,"The property has four bedrooms and four and a half bathrooms, which is a good size for a family. The area of 3550 square feet is also reasonable for the price range of $700,000 to $800,000. The property has a modern build quality and a large garage, which is a desirable feature. The location in zipcode 85262 is also a desirable area. All of these factors contribute to the price range of $700,000 to $800,000.",1,5,2,0
27_36,27,962500,4,4.5,330,3550,800000,900000,700000,800000,True,True,looks like very good and have 4 bed i think this price gonna be good,"The property has four bedrooms and four and a half bathrooms, which is a good size for a family. The area of 3550 square feet is also reasonable for the price range of $700,000 to $800,000. The property has a modern build quality and a large garage, which is a desirable feature. The location in zipcode 85262 is also a desirable area. All of these factors contribute to the price range of $700,000 to $800,000.",1,5,2,0
28_1,28,875000,5,4.5,388,4180,1250000,1500000,700000,800000,True,True,"The house has a large surface area and from the images we can see that the property also includes a large fancy kitchen and bathrooms.
The zip code is located in a big city and near the hills.","The property has 5 bedrooms and 4.5 bathrooms, with an area of 4180 sqft. The property is located in a luxurious neighborhood with high-end homes and high-end shopping centers. The property has a beautiful garden and a large garage. The property is in good condition and has recently been renovated. The location is a desirable area with high demand for luxury homes. The property is priced competitively with similar properties in the area. The property is expected to sell for around $700,000 to $800,000.",1,3,4,1
28_5,28,875000,5,4.5,388,4180,1250000,1500000,700000,800000,True,True,"The house has a large surface area and from the images we can see that the property also includes a large fancy kitchen and bathrooms.
The zip code is located in a big city and near the hills.","The property has 5 bedrooms and 4.5 bathrooms, with an area of 4180 sqft. The property is located in a luxurious neighborhood with high-end homes and high-end shopping centers. The property has a beautiful garden and a large garage. The property is in good condition and has recently been renovated. The location is a desirable area with high demand for luxury homes. The property is priced competitively with similar properties in the area. The property is expected to sell for around $700,000 to $800,000.",1,4,4,2
28_8,28,875000,5,4.5,388,4180,1250000,1500000,700000,800000,True,True,"The house has a large surface area and from the images we can see that the property also includes a large fancy kitchen and bathrooms.
The zip code is located in a big city and near the hills.","The property has 5 bedrooms and 4.5 bathrooms, with an area of 4180 sqft. The property is located in a luxurious neighborhood with high-end homes and high-end shopping centers. The property has a beautiful garden and a large garage. The property is in good condition and has recently been renovated. The location is a desirable area with high demand for luxury homes. The property is priced competitively with similar properties in the area. The property is expected to sell for around $700,000 to $800,000.",1,3,4,1
28_10,28,875000,5,4.5,388,4180,1250000,1500000,700000,800000,True,True,"The house has a large surface area and from the images we can see that the property also includes a large fancy kitchen and bathrooms.
The zip code is located in a big city and near the hills.","The property has 5 bedrooms and 4.5 bathrooms, with an area of 4180 sqft. The property is located in a luxurious neighborhood with high-end homes and high-end shopping centers. The property has a beautiful garden and a large garage. The property is in good condition and has recently been renovated. The location is a desirable area with high demand for luxury homes. The property is priced competitively with similar properties in the area. The property is expected to sell for around $700,000 to $800,000.",1,5,5,0
28_23,28,875000,5,4.5,388,4180,600000,700000,700000,800000,True,True,Total are total five bedrooms of the house and open space in front,"The property has 5 bedrooms and 4.5 bathrooms, with an area of 4180 sqft. The property is located in a luxurious neighborhood with high-end homes and high-end shopping centers. The property has a beautiful garden and a large garage. The property is in good condition and has recently been renovated. The location is a desirable area with high demand for luxury homes. The property is priced competitively with similar properties in the area. The property is expected to sell for around $700,000 to $800,000.",1,2,2,2
29_11,29,1650000,4,4.0,415,4464,1000000,1250000,1000000,1500000,True,True,"The house has a large surface area and from the images we can see that the property also includes a huge parking space.
The house decoration seems to be luxurious and very fancy as well. ","The property has 4 bedrooms and 4 bathrooms, with an area of 4464 sqft. The property is located in a desert area, with a large living room and dining area, a spacious kitchen, and a large master bedroom with an en suite bathroom. The property also has a large garage and a beautiful garden. The build quality is high, with wooden beams and stone walls. The property is located in a desirable area, with easy access to shopping centers and restaurants. The property is in good condition, but may require some minor repairs. The property is suitable for a large family or for someone who wants to live in a luxurious home in the desert. The price range for this property is between $1,000,000 and $1,500,000. The price prediction for this property is between $1,000,000 and $1,500,000.",1,5,4,0
29_13,29,1650000,4,4.0,415,4464,1000000,1250000,1000000,1500000,True,True,"The house has a large surface area and from the images we can see that the property also includes a huge parking space.
The house decoration seems to be luxurious and very fancy as well. ","The property has 4 bedrooms and 4 bathrooms, with an area of 4464 sqft. The property is located in a desert area, with a large living room and dining area, a spacious kitchen, and a large master bedroom with an en suite bathroom. The property also has a large garage and a beautiful garden. The build quality is high, with wooden beams and stone walls. The property is located in a desirable area, with easy access to shopping centers and restaurants. The property is in good condition, but may require some minor repairs. The property is suitable for a large family or for someone who wants to live in a luxurious home in the desert. The price range for this property is between $1,000,000 and $1,500,000. The price prediction for this property is between $1,000,000 and $1,500,000.",1,5,4,0
29_15,29,1650000,4,4.0,415,4464,1000000,1250000,1000000,1500000,True,True,"The house has a large surface area and from the images we can see that the property also includes a huge parking space.
The house decoration seems to be luxurious and very fancy as well. ","The property has 4 bedrooms and 4 bathrooms, with an area of 4464 sqft. The property is located in a desert area, with a large living room and dining area, a spacious kitchen, and a large master bedroom with an en suite bathroom. The property also has a large garage and a beautiful garden. The build quality is high, with wooden beams and stone walls. The property is located in a desirable area, with easy access to shopping centers and restaurants. The property is in good condition, but may require some minor repairs. The property is suitable for a large family or for someone who wants to live in a luxurious home in the desert. The price range for this property is between $1,000,000 and $1,500,000. The price prediction for this property is between $1,000,000 and $1,500,000.",1,5,5,2
29_22,29,1650000,4,4.0,415,4464,700000,800000,1000000,1500000,True,True,"As per area and number of bedrooms.
It is furnished well.","The property has 4 bedrooms and 4 bathrooms, with an area of 4464 sqft. The property is located in a desert area, with a large living room and dining area, a spacious kitchen, and a large master bedroom with an en suite bathroom. The property also has a large garage and a beautiful garden. The build quality is high, with wooden beams and stone walls. The property is located in a desirable area, with easy access to shopping centers and restaurants. The property is in good condition, but may require some minor repairs. The property is suitable for a large family or for someone who wants to live in a luxurious home in the desert. The price range for this property is between $1,000,000 and $1,500,000. The price prediction for this property is between $1,000,000 and $1,500,000.",1,5,3,0
29_23,29,1650000,4,4.0,415,4464,700000,800000,1000000,1500000,True,True,"As per area and number of bedrooms.
It is furnished well.","The property has 4 bedrooms and 4 bathrooms, with an area of 4464 sqft. The property is located in a desert area, with a large living room and dining area, a spacious kitchen, and a large master bedroom with an en suite bathroom. The property also has a large garage and a beautiful garden. The build quality is high, with wooden beams and stone walls. The property is located in a desirable area, with easy access to shopping centers and restaurants. The property is in good condition, but may require some minor repairs. The property is suitable for a large family or for someone who wants to live in a luxurious home in the desert. The price range for this property is between $1,000,000 and $1,500,000. The price prediction for this property is between $1,000,000 and $1,500,000.",1,5,3,0
29_24,29,1650000,4,4.0,415,4464,700000,800000,1000000,1500000,True,True,"As per area and number of bedrooms.
It is furnished well.","The property has 4 bedrooms and 4 bathrooms, with an area of 4464 sqft. The property is located in a desert area, with a large living room and dining area, a spacious kitchen, and a large master bedroom with an en suite bathroom. The property also has a large garage and a beautiful garden. The build quality is high, with wooden beams and stone walls. The property is located in a desirable area, with easy access to shopping centers and restaurants. The property is in good condition, but may require some minor repairs. The property is suitable for a large family or for someone who wants to live in a luxurious home in the desert. The price range for this property is between $1,000,000 and $1,500,000. The price prediction for this property is between $1,000,000 and $1,500,000.",1,5,2,0
30_2,30,1199000,5,4.5,449,4829,600000,700000,700000,800000,True,True,"Bed rooms are five.
As per requirement, all facilities are available.","The property has 5 bedrooms and 4.5 bathrooms, with an area of 4829 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in Scottsdale, Arizona is a desirable area, and the property is situated in a quiet neighborhood. The property is also close to shopping centers, restaurants, and other amenities. Given these factors, the price prediction for this property is likely to be in the range of $700,000 to $800,000.",1,5,1,0
30_5,30,1199000,5,4.5,449,4829,1250000,1500000,700000,800000,True,True,"The house has a large surface area and from the images we can see that the property also includes a big garden.
The zip code is located in a big city and near a lake.
The house decoration seems to be luxurious as well.","The property has 5 bedrooms and 4.5 bathrooms, with an area of 4829 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in Scottsdale, Arizona is a desirable area, and the property is situated in a quiet neighborhood. The property is also close to shopping centers, restaurants, and other amenities. Given these factors, the price prediction for this property is likely to be in the range of $700,000 to $800,000.",1,2,4,1
30_10,30,1199000,5,4.5,449,4829,1250000,1500000,700000,800000,True,True,"The house has a large surface area and from the images we can see that the property also includes a big garden.
The zip code is located in a big city and near a lake.
The house decoration seems to be luxurious as well.","The property has 5 bedrooms and 4.5 bathrooms, with an area of 4829 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in Scottsdale, Arizona is a desirable area, and the property is situated in a quiet neighborhood. The property is also close to shopping centers, restaurants, and other amenities. Given these factors, the price prediction for this property is likely to be in the range of $700,000 to $800,000.",1,5,3,0
30_12,30,1199000,5,4.5,449,4829,1250000,1500000,700000,800000,True,True,"The house has a large surface area and from the images we can see that the property also includes a big garden.
The zip code is located in a big city and near a lake.
The house decoration seems to be luxurious as well.","The property has 5 bedrooms and 4.5 bathrooms, with an area of 4829 sqft. The build quality appears to be high, with a well-maintained garden and a garage. The location in Scottsdale, Arizona is a desirable area, and the property is situated in a quiet neighborhood. The property is also close to shopping centers, restaurants, and other amenities. Given these factors, the price prediction for this property is likely to be in the range of $700,000 to $800,000.",1,4,4,0
31_4,31,789000,5,3.0,234,2520,900000,1000000,700000,800000,True,True,"big kitchen, it has a extended garden also it counts with a seeker","The property has 5 bedrooms and 3 bathrooms, with an area of 2520 sqft. The property is located in a desirable area with good schools and access to amenities. The build quality is well maintained and the garden is well kept. The garage is not present. The property is priced at the higher end of the range, but given the desirability of the area and the quality of the property, it is reasonable to expect that it would sell within the range.",1,5,3,0
31_6,31,789000,5,3.0,234,2520,900000,1000000,700000,800000,True,True,"big kitchen, it has a extended garden also it counts with a seeker","The property has 5 bedrooms and 3 bathrooms, with an area of 2520 sqft. The property is located in a desirable area with good schools and access to amenities. The build quality is well maintained and the garden is well kept. The garage is not present. The property is priced at the higher end of the range, but given the desirability of the area and the quality of the property, it is reasonable to expect that it would sell within the range.",1,5,3,0
31_9,31,789000,5,3.0,234,2520,900000,1000000,700000,800000,True,True,"big kitchen, it has a extended garden also it counts with a seeker","The property has 5 bedrooms and 3 bathrooms, with an area of 2520 sqft. The property is located in a desirable area with good schools and access to amenities. The build quality is well maintained and the garden is well kept. The garage is not present. The property is priced at the higher end of the range, but given the desirability of the area and the quality of the property, it is reasonable to expect that it would sell within the range.",1,4,3,0
31_10,31,789000,5,3.0,234,2520,900000,1000000,700000,800000,True,True,"big kitchen, it has a extended garden also it counts with a seeker","The property has 5 bedrooms and 3 bathrooms, with an area of 2520 sqft. The property is located in a desirable area with good schools and access to amenities. The build quality is well maintained and the garden is well kept. The garage is not present. The property is priced at the higher end of the range, but given the desirability of the area and the quality of the property, it is reasonable to expect that it would sell within the range.",1,4,1,0
31_16,31,789000,5,3.0,234,2520,900000,1000000,700000,800000,True,True,"The house has a large surface area and from the images we can see that the property also includes a front porch 
The house decoration seems to be luxurious as well.","The property has 5 bedrooms and 3 bathrooms, with an area of 2520 sqft. The property is located in a desirable area with good schools and access to amenities. The build quality is well maintained and the garden is well kept. The garage is not present. The property is priced at the higher end of the range, but given the desirability of the area and the quality of the property, it is reasonable to expect that it would sell within the range.",1,4,3,0
31_22,31,789000,5,3.0,234,2520,900000,1000000,700000,800000,True,True,"The house has a large surface area and from the images we can see that the property also includes a front porch 
The house decoration seems to be luxurious as well.","The property has 5 bedrooms and 3 bathrooms, with an area of 2520 sqft. The property is located in a desirable area with good schools and access to amenities. The build quality is well maintained and the garden is well kept. The garage is not present. The property is priced at the higher end of the range, but given the desirability of the area and the quality of the property, it is reasonable to expect that it would sell within the range.",1,4,3,0
31_23,31,789000,5,3.0,234,2520,900000,1000000,700000,800000,True,True,"The house has a large surface area and from the images we can see that the property also includes a front porch 
The house decoration seems to be luxurious as well.","The property has 5 bedrooms and 3 bathrooms, with an area of 2520 sqft. The property is located in a desirable area with good schools and access to amenities. The build quality is well maintained and the garden is well kept. The garage is not present. The property is priced at the higher end of the range, but given the desirability of the area and the quality of the property, it is reasonable to expect that it would sell within the range.",1,4,3,0
32_9,32,1039000,4,3.5,318,3428,1000000,1250000,500000,600000,True,True,"The house has a large surface area and from the images we can see that the property also includes a big garden.
The zip code is located in a big city and near a lake.
The house decoration seems to be luxurious as well.","The property has 4 bedrooms and 3.5 bathrooms, with an area of 3428 sqft. The location in zipcode 85255 is a desirable area, and the property has a high quality build and a large garden. The garage is also present, which is a valuable feature. The number of bedrooms and bathrooms, as well as the area, are important features to focus on when determining the price of the property. Based on these factors, the price prediction for the property is between $500,000 and $600,000.",0,4,4,2
32_11,32,1039000,4,3.5,318,3428,1000000,1250000,500000,600000,True,True,"The house has a large surface area and from the images we can see that the property also includes a big garden.
The zip code is located in a big city and near a lake.
The house decoration seems to be luxurious as well.","The property has 4 bedrooms and 3.5 bathrooms, with an area of 3428 sqft. The location in zipcode 85255 is a desirable area, and the property has a high quality build and a large garden. The garage is also present, which is a valuable feature. The number of bedrooms and bathrooms, as well as the area, are important features to focus on when determining the price of the property. Based on these factors, the price prediction for the property is between $500,000 and $600,000.",0,4,3,0
32_25,32,1039000,4,3.5,318,3428,1000000,1250000,500000,600000,True,True,"The house has a large surface area and from the images we can see that the property also includes a big garden.
The zip code is located in a big city and near a lake.
The house decoration seems to be luxurious as well.","The property has 4 bedrooms and 3.5 bathrooms, with an area of 3428 sqft. The location in zipcode 85255 is a desirable area, and the property has a high quality build and a large garden. The garage is also present, which is a valuable feature. The number of bedrooms and bathrooms, as well as the area, are important features to focus on when determining the price of the property. Based on these factors, the price prediction for the property is between $500,000 and $600,000.",0,3,2,0
32_31,32,1039000,4,3.5,318,3428,1000000,1250000,500000,600000,True,True,"The house has a large surface area and from the images we can see that the property also includes drive way for car parking.
The zip code is located in a big city and near a lake.
The house decoration seems to be decent as well.","The property has 4 bedrooms and 3.5 bathrooms, with an area of 3428 sqft. The location in zipcode 85255 is a desirable area, and the property has a high quality build and a large garden. The garage is also present, which is a valuable feature. The number of bedrooms and bathrooms, as well as the area, are important features to focus on when determining the price of the property. Based on these factors, the price prediction for the property is between $500,000 and $600,000.",0,4,4,0
32_32,32,1039000,4,3.5,318,3428,800000,900000,500000,600000,True,True,"Big and comfortable one. A lot of space, nice backyard. ","The property has 4 bedrooms and 3.5 bathrooms, with an area of 3428 sqft. The location in zipcode 85255 is a desirable area, and the property has a high quality build and a large garden. The garage is also present, which is a valuable feature. The number of bedrooms and bathrooms, as well as the area, are important features to focus on when determining the price of the property. Based on these factors, the price prediction for the property is between $500,000 and $600,000.",0,3,4,1
32_33,32,1039000,4,3.5,318,3428,800000,900000,500000,600000,True,True,"Big and comfortable one. A lot of space, nice backyard. ","The property has 4 bedrooms and 3.5 bathrooms, with an area of 3428 sqft. The location in zipcode 85255 is a desirable area, and the property has a high quality build and a large garden. The garage is also present, which is a valuable feature. The number of bedrooms and bathrooms, as well as the area, are important features to focus on when determining the price of the property. Based on these factors, the price prediction for the property is between $500,000 and $600,000.",0,1,5,1
32_34,32,1039000,4,3.5,318,3428,1000000,1250000,500000,600000,True,True,"The house has a large surface area and from the images we can see that the property also includes drive way for car parking.
The zip code is located in a big city and near a lake.
The house decoration seems to be decent as well.","The property has 4 bedrooms and 3.5 bathrooms, with an area of 3428 sqft. The location in zipcode 85255 is a desirable area, and the property has a high quality build and a large garden. The garage is also present, which is a valuable feature. The number of bedrooms and bathrooms, as well as the area, are important features to focus on when determining the price of the property. Based on these factors, the price prediction for the property is between $500,000 and $600,000.",0,5,4,0
32_35,32,1039000,4,3.5,318,3428,800000,900000,500000,600000,True,True,"Big and comfortable one. A lot of space, nice backyard. ","The property has 4 bedrooms and 3.5 bathrooms, with an area of 3428 sqft. The location in zipcode 85255 is a desirable area, and the property has a high quality build and a large garden. The garage is also present, which is a valuable feature. The number of bedrooms and bathrooms, as well as the area, are important features to focus on when determining the price of the property. Based on these factors, the price prediction for the property is between $500,000 and $600,000.",0,5,4,0
32_38,32,1039000,4,3.5,318,3428,1000000,1250000,500000,600000,True,True,"The house has a large surface area and from the images we can see that the property also includes a big garden.
The zip code is located in a big city and near a lake.
The house decoration seems to be luxurious as well.","The property has 4 bedrooms and 3.5 bathrooms, with an area of 3428 sqft. The location in zipcode 85255 is a desirable area, and the property has a high quality build and a large garden. The garage is also present, which is a valuable feature. The number of bedrooms and bathrooms, as well as the area, are important features to focus on when determining the price of the property. Based on these factors, the price prediction for the property is between $500,000 and $600,000.",0,3,2,0
33_7,33,365000,3,2.0,167,1802,300000,400000,400000,500000,True,True,This is an attention check. Please select the option described in the question.,This is an attention check. Please select the option described in the question.,0,1,3,2
33_8,33,365000,3,2.0,167,1802,300000,400000,400000,500000,True,True,this house have only 3 bed and condition looks like not so good,"The property has three bedrooms and three bathrooms, with an area of 1802 sqft. The property is located in a residential area with good access to amenities and public transportation. The build quality appears to be well maintained, and the garden is well kept. The garage is not present, but there is ample parking space available. The property is priced at the lower end of the range, which is reasonable considering the location and the number of bedrooms and bathrooms. The property is likely to attract first time buyers or investors looking for a rental property.",0,5,3,0
33_10,33,365000,3,2.0,167,1802,300000,400000,400000,500000,True,True,This is an attention check. Please select the option described in the question.,This is an attention check. Please select the option described in the question.,0,1,3,2
33_11,33,365000,3,2.0,167,1802,300000,400000,400000,500000,True,True,this house have only 3 bed and condition looks like not so good,"The property has three bedrooms and three bathrooms, with an area of 1802 sqft. The property is located in a residential area with good access to amenities and public transportation. The build quality appears to be well maintained, and the garden is well kept. The garage is not present, but there is ample parking space available. The property is priced at the lower end of the range, which is reasonable considering the location and the number of bedrooms and bathrooms. The property is likely to attract first time buyers or investors looking for a rental property.",0,4,5,1
33_20,33,365000,3,2.0,167,1802,300000,400000,400000,500000,True,True,this house have only 3 bed and condition looks like not so good,"The property has three bedrooms and three bathrooms, with an area of 1802 sqft. The property is located in a residential area with good access to amenities and public transportation. The build quality appears to be well maintained, and the garden is well kept. The garage is not present, but there is ample parking space available. The property is priced at the lower end of the range, which is reasonable considering the location and the number of bedrooms and bathrooms. The property is likely to attract first time buyers or investors looking for a rental property.",0,1,2,1
33_24,33,365000,3,2.0,167,1802,300000,400000,400000,500000,True,True,"Counts with a garden, it has a garage and it's near to the ocean","The property has three bedrooms and three bathrooms, with an area of 1802 sqft. The property is located in a residential area with good access to amenities and public transportation. The build quality appears to be well maintained, and the garden is well kept. The garage is not present, but there is ample parking space available. The property is priced at the lower end of the range, which is reasonable considering the location and the number of bedrooms and bathrooms. The property is likely to attract first time buyers or investors looking for a rental property.",0,4,2,0
33_26,33,365000,3,2.0,167,1802,300000,400000,400000,500000,True,True,"Counts with a garden, it has a garage and it's near to the ocean","The property has three bedrooms and three bathrooms, with an area of 1802 sqft. The property is located in a residential area with good access to amenities and public transportation. The build quality appears to be well maintained, and the garden is well kept. The garage is not present, but there is ample parking space available. The property is priced at the lower end of the range, which is reasonable considering the location and the number of bedrooms and bathrooms. The property is likely to attract first time buyers or investors looking for a rental property.",0,4,4,2
33_27,33,365000,3,2.0,167,1802,300000,400000,400000,500000,True,True,"Counts with a garden, it has a garage and it's near to the ocean","The property has three bedrooms and three bathrooms, with an area of 1802 sqft. The property is located in a residential area with good access to amenities and public transportation. The build quality appears to be well maintained, and the garden is well kept. The garage is not present, but there is ample parking space available. The property is priced at the lower end of the range, which is reasonable considering the location and the number of bedrooms and bathrooms. The property is likely to attract first time buyers or investors looking for a rental property.",0,5,3,0
33_28,33,365000,3,2.0,167,1802,300000,400000,400000,500000,True,True,this house have only 3 bed and condition looks like not so good,"The property has three bedrooms and three bathrooms, with an area of 1802 sqft. The property is located in a residential area with good access to amenities and public transportation. The build quality appears to be well maintained, and the garden is well kept. The garage is not present, but there is ample parking space available. The property is priced at the lower end of the range, which is reasonable considering the location and the number of bedrooms and bathrooms. The property is likely to attract first time buyers or investors looking for a rental property.",0,5,1,0
34_1,34,1695000,3,3.5,267,2873,400000,500000,500000,700000,True,True,"Modern, but a little bit too simple. Not much furniture. ","The property is located in a desirable area with a high demand for housing. The number of bedrooms and bathrooms is suitable for a family, and the area is relatively large for the price range. The property is also well-maintained and has a modern design, which adds to its value. However, the price range is slightly higher than the average for the area, which may make it less accessible to some potential buyers.",1,5,3,0
34_2,34,1695000,3,3.5,267,2873,400000,500000,500000,700000,True,True,"Modern, but a little bit too simple. Not much furniture. ","The property is located in a desirable area with a high demand for housing. The number of bedrooms and bathrooms is suitable for a family, and the area is relatively large for the price range. The property is also well-maintained and has a modern design, which adds to its value. However, the price range is slightly higher than the average for the area, which may make it less accessible to some potential buyers.",1,4,2,0
35_2,35,999000,4,4.0,303,3260,600000,700000,500000,700000,True,True,"As per location of house and number of bedrooms.
     ","The property has 4 bedrooms and 4.0 bathrooms, with an area of 3260 sqft. The location in Sedona, Arizona is a desirable area, and the property has a beautiful view of the surrounding mountains. The build quality is high, with wooden beams and large windows that provide ample natural light. The property also has a large garage, which is a valuable feature. However, the price range is relatively high, and it may be difficult to find a buyer who is willing to pay the upper bound of $700,000.",1,4,4,2
35_3,35,999000,4,4.0,303,3260,600000,700000,500000,700000,True,True,"As per location of house and number of bedrooms.
     ","The property has 4 bedrooms and 4.0 bathrooms, with an area of 3260 sqft. The location in Sedona, Arizona is a desirable area, and the property has a beautiful view of the surrounding mountains. The build quality is high, with wooden beams and large windows that provide ample natural light. The property also has a large garage, which is a valuable feature. However, the price range is relatively high, and it may be difficult to find a buyer who is willing to pay the upper bound of $700,000.",1,4,1,0
35_6,35,999000,4,4.0,303,3260,600000,700000,500000,700000,True,True,"As per location of house and number of bedrooms.
     ","The property has 4 bedrooms and 4.0 bathrooms, with an area of 3260 sqft. The location in Sedona, Arizona is a desirable area, and the property has a beautiful view of the surrounding mountains. The build quality is high, with wooden beams and large windows that provide ample natural light. The property also has a large garage, which is a valuable feature. However, the price range is relatively high, and it may be difficult to find a buyer who is willing to pay the upper bound of $700,000.",1,5,3,0
